sentence,condition,item,group
השיעור שהמתרגל שהמזגן הקפיא הסתיים.,c,19,1
השיעור שהמתרגל שהמזגן הקפיא לימד.,d,19,2
הסטארטאפ שהמשקיע שהדו״ח איכזב עזב התפרק.,a,20,2
הסטארטאפ שהמשקיע שהדו״ח עזב התפרק.,b,20,3
הסטארטאפ שהמשקיע שהדו״ח איכזב התפרק.,c,20,4
הסטארטאפ שהמשקיע שהדו״ח איכזב עזב.,d,20,1
הטוקסידו שהחייט שהריפוד עיצבן תפר נפרם.,a,21,1
הטוקסידו שהחייט שהריפוד תפר נפרם.,b,21,2
הטוקסידו שהחייט שהריפוד עיצבן נפרם.,c,21,3
הטוקסידו שהחייט שהריפוד עיצבן תפר.,d,21,4
הסיור שהארכיאולוג שהחמסין התיש הדריך בוטל.,a,22,4
הסיור שהארכיאולוג שהחמסין הדריך בוטל.,b,22,1
הסיור שהארכיאולוג שהחמסין התיש בוטל.,c,22,2
הסיור שהארכיאולוג שהחמסין התיש הדריך.,d,22,3
הדוקומנטרי שהבמאי שהפסטיבל דחה צילם נקטל.,a,23,3
הדוקומנטרי שהבמאי שהפסטיבל צילם נקטל.,b,23,4
הדוקומנטרי שהבמאי שהפסטיבל דחה נקטל.,c,23,1
הדוקומנטרי שהבמאי שהפסטיבל דחה צילם.,d,23,2
המשחק שהכדורגלן שֶׁהַיָּצִיע עודד ניצח נפסל.,a,24,2
המשחק שהכדורגלן שֶׁהַיָּצִיע ניצח נפסל.,b,24,3
המשחק שהכדורגלן שֶׁהַיָּצִיע עודד נפסל.,c,24,4
המשחק שהכדורגלן שֶׁהַיָּצִיע עודד ניצח.,d,24,1
